poiID;poiName;lat;long;theme
1;Albay Park and Wild Life;13.15747;123.73045;Zoo
2;Peñaranda Park;13.13917;123.73458;Park
3;Your Brother House Tribal Village;13.16903;123.73378;Hotel
4;Your Brother Mayon ATV Tours;13.17075;123.73373;ATV
5;Puro Boulevard;13.13511;123.76726;Park
6;Padang Memorial Cross;13.20712;123.75393;Historical_Landmark
7;Giant Statue of Nuestra Señora de Salvacion;13.17036;123.73921;Tourist_Attraction
8;Ligñon Hill;13.16143;123.72942;Park
9;MASON’S Obelisk;13.13089;123.76851;Park
10;Risen Christ Statue Banquerohan;13.05311;123.76112;Religious
11;St. Gregory the Great Cathedral;13.1387;123.73323;Religious
12;St. Raphael the Archangel Parish;13.14904;123.75356;Religious
13;St. Padre Pio Parish and Diocesan Shrine;13.16618;123.75081;Religious
14;Mayon Black Lava Zipline Adventure;13.20269;123.71309;Adventure
15;1st Colonial | SM City Legazpi;13.14449;123.74439;Food
16;Hotel Areca;13.13904;123.73236;Hotel
17;Lotus Blu Hotel Legazpi;13.14617;123.74578;Hotel
18;Hotel Sentro Legazpi;13.14641;123.75086;Hotel
19;Ninong's Hotel;13.13958;123.73622;Hotel
20;Hotel Inigo;13.14121;123.74771;Hotel
21;The Oriental Legazpi;13.13465;123.73873;Hotel
22;Chilo Bar;13.15594;123.74288;Bar
23;Marison Hotel;13.15587;123.74209;Hotel
24;Café Margaritas;13.17114;123.75165;Restaurant
25;LeSans Cafe;13.1559;123.74293;Cafe
26;Kabana Cafe;13.19198;123.75435;Cafe
27;Cesar's;13.14527;123.78463;Restaurant
28;Primeroasting Cafe & Kitchen;13.14568;123.73858;Restaurant
29;Lola Feling Restaurant Legazpi;13.13937;123.74258;Restaurant
30;Little Light Café;13.14674;123.74561;Cafe
31;Kape sa Harong;13.13955;123.73127;Cafe
32;KIN Coffee;13.13878;123.73714;Cafe
33;Kapihan;13.15303;123.74686;Cafe
34;Bec;13.14399;123.74005;Cafe
35;Tambayan Cafe Lgp;13.12921;123.76611;Cafe
36;Legazpi Four Seasons Restaurant - Main Branch;13.14481;123.74997;Restaurant
37;Miña's Mayon View Resort;13.18915;123.74355;Resort
38;Layag Restaurant And Grill;13.20157;123.75453;Restaurant
39;FoodPals;13.19539;123.75455;Restaurant
40;Kabana Cafe;13.19502;123.75442;Cafe
41;SEVENTY-SIX Farm;13.19779;123.74825;Park
42;Black Lava Trail & Helipad;13.20519;123.71057;ATV
43;BUKO Trail - Mayon Volcano;13.21156;123.72645;Mountain_Biking
44;Mt. Mayon View Point;13.12872;123.77329;Tourist_Attraction
45;Lamba Point View;13.12174;123.7757;Hill
46;Legazpi Boulevard;13.13572;123.76355;Park
47;Zoe's Kitchen;13.13685;123.76198;Restaurant
48;Ibalong Park / Legazpi City People's Park;13.13429;123.76556;Park
49;Rockport Café;13.1345;123.76453;Cafe
50;Mjm By The Bay Grill & Restaurant (Branch 1);13.13459;123.76422;Restaurant
51;Boulevard Blends;13.13465;123.76401;Cafe
52;C Front;13.13479;123.76374;Restaurant
53;4D' Road Resto Bar & Cafe;13.13489;123.76355;Bar
54;Lugaw Republic Legazpi Boulevard;13.13334;123.76728;Restaurant
55;Handyong Monument (Ibalong Epic Hero);13.13042;123.76903;Historical_Landmark
56;I LOVE PURO Marker;13.12863;123.77036;Tourist_Attraction
57;Bantong Monument (Ibalong Epic Hero);13.1277;123.77253;Tourist_Attraction
58;Arthur Holiday Inn;13.1356;123.76246;Hotel
59;OGMA Suites Legazpi;13.13704;123.76074;Hotel
60;Pavi's Place & Restobar;13.13731;123.76117;Restaurant
61;Legazpi Macabalo Esplanade;13.13869;123.76073;Park
62;Legazpi City Skate Park;13.14072;123.76061;Park
63;JCI Legazpi Baltog Monument (Ibalong Epic);13.14084;123.76039;Historical_Landmark
64;Sawangan Park;13.14194;123.76068;Park
65;Sleeping Lion / Kapuntukan Hill;13.14255;123.7595;Hill
66;Kapuntukan Resto Bar and Grille;13.14411;123.76155;Bar
